label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
Name,0.5157346725463867,0.5804606676101685,0.6341138482093811,0.6679720282554626,0.6953406929969788,0.5917354822158813,0.6111500263214111,0.6232154369354248,0.6310041546821594,0.5501382350921631,0.557090699672699,0.5613700151443481,0.5630863904953003,0.510295569896698,0.5125116109848022,0.5118913054466248,0.5112226605415344,0.4713677167892456,0.45341163873672485,0.44166919589042664,0.43340933322906494,0.6542924642562866,0.6381163001060486,0.5764827728271484,0.5162590742111206,0.468611478805542,0.43917155265808105,0.34357649087905884,0.283387154340744,0.23274436593055725,0.4265192747116089,0.3278349041938782,0.26451581716537476,0.21326760947704315,0.4332205057144165,0.3418935239315033,0.2853662967681885,0.23921158909797668,0.4571727514266968,0.38506758213043213,0.3381730318069458,0.2962579131126404,4.6508620243912446e-07,-0.03137942776083946,-0.041585229337215424,-0.04926672205328941,-0.05634864419698715,-0.02230173349380493,-0.03798462823033333,-0.05124921724200249,-0.06104575842618942,-0.020261267200112343,-0.03395454213023186,-0.04809561371803284,-0.058309491723775864,-0.022053677588701248,-0.03774362802505493,-0.05042867362499237,-0.05850466713309288,-0.026923490688204765,-0.04499615728855133,-0.05431382358074188,-0.058734942227602005
Name,0.5168018341064453,0.584644615650177,0.6390179991722107,0.6725971698760986,0.7037954330444336,0.5871654152870178,0.6061909198760986,0.6171459555625916,0.6229763031005859,0.5455002784729004,0.5533964037895203,0.557262122631073,0.5564140677452087,0.5058476328849792,0.5005125999450684,0.4978772699832916,0.494534969329834,0.46737825870513916,0.44638341665267944,0.4332020878791809,0.42308446764945984,0.6791776418685913,0.6510245203971863,0.5826911926269531,0.5184131264686584,0.4729778468608856,0.44285306334495544,0.34793686866760254,0.288640558719635,0.23710839450359344,0.4316141903400421,0.3298383951187134,0.2657436728477478,0.21290841698646545,0.4411405920982361,0.3476031720638275,0.2911345064640045,0.24327576160430908,0.46946045756340027,0.39450860023498535,0.34553244709968567,0.29912906885147095,4.6147326315804094e-07,-0.028435977175831795,-0.03872326761484146,-0.04721565917134285,-0.054972708225250244,-0.01915351115167141,-0.0357583686709404,-0.05053330957889557,-0.061416950076818466,-0.01941739022731781,-0.03335223346948624,-0.047093912959098816,-0.05709152668714523,-0.02356637641787529,-0.039438724517822266,-0.05109338089823723,-0.05836567282676697,-0.030740100890398026,-0.04745038226246834,-0.05498810112476349,-0.0585743747651577
Name,0.5129880905151367,0.5823135375976562,0.6392988562583923,0.6724411845207214,0.7029449343681335,0.5863506197929382,0.6059368252754211,0.6154422760009766,0.6203903555870056,0.544401228427887,0.5536460280418396,0.5571814179420471,0.5557867288589478,0.5047850608825684,0.5006303787231445,0.4988436698913574,0.49585407972335815,0.46541234850883484,0.444477379322052,0.43090391159057617,0.4197646379470825,0.6870143413543701,0.6548161506652832,0.5851200819015503,0.5192902088165283,0.4709039330482483,0.4439578354358673,0.3456973433494568,0.28638434410095215,0.23537784814834595,0.4337005317211151,0.3280881345272064,0.2622283101081848,0.20915529131889343,0.4439975619316101,0.3483074903488159,0.29065918922424316,0.24296122789382935,0.472639799118042,0.396384596824646,0.3452475368976593,0.29701030254364014,4.4979620383855945e-07,-0.027936948463320732,-0.03871876373887062,-0.048008255660533905,-0.056645818054676056,-0.018819043412804604,-0.03573213890194893,-0.05049300938844681,-0.06113116070628166,-0.019784605130553246,-0.033874284476041794,-0.047995202243328094,-0.058491479605436325,-0.024684878066182137,-0.040368761867284775,-0.05240129679441452,-0.06022418662905693,-0.03259119391441345,-0.04915492236614227,-0.05696665123105049,-0.06098686531186104
Name,0.515870213508606,0.5869300961494446,0.6445690393447876,0.6758793592453003,0.7073750495910645,0.5886727571487427,0.6076441407203674,0.6171513795852661,0.622478187084198,0.545880913734436,0.553619384765625,0.5556163787841797,0.5534267425537109,0.506331741809845,0.49921849370002747,0.49497491121292114,0.4903095066547394,0.4673212468624115,0.44384896755218506,0.42865198850631714,0.41650450229644775,0.6884503364562988,0.6530909538269043,0.5805632472038269,0.5115796327590942,0.46230635046958923,0.4397357404232025,0.33958548307418823,0.2768954038619995,0.22256213426589966,0.4295780062675476,0.32233041524887085,0.2529642581939697,0.19610533118247986,0.4403603672981262,0.34350264072418213,0.28192973136901855,0.23017287254333496,0.46980732679367065,0.39325106143951416,0.34123051166534424,0.2920234799385071,4.6103065187708125e-07,-0.029589008539915085,-0.04141046851873398,-0.051674142479896545,-0.06128574162721634,-0.021329805254936218,-0.03994177281856537,-0.05590562894940376,-0.06761521100997925,-0.02208312787115574,-0.03808925673365593,-0.05353878438472748,-0.06503479927778244,-0.02686030976474285,-0.044334862381219864,-0.05786135792732239,-0.06670741736888885,-0.03476301580667496,-0.05307827517390251,-0.06235801801085472,-0.06731221824884415
Name,0.5189328789710999,0.5884127616882324,0.6446148157119751,0.6766870617866516,0.7096974849700928,0.5879871845245361,0.6072803139686584,0.6167958974838257,0.622305154800415,0.545393168926239,0.552757740020752,0.5552865266799927,0.5535613894462585,0.5062676072120667,0.49786657094955444,0.4941074252128601,0.49034368991851807,0.4682503342628479,0.4448027014732361,0.4292334318161011,0.41653957962989807,0.6843021512031555,0.6462635397911072,0.5733150243759155,0.5035306215286255,0.45386192202568054,0.43512314558029175,0.3337450921535492,0.2704395055770874,0.21533912420272827,0.4257974624633789,0.31657537817955017,0.24575473368167877,0.187393456697464,0.4372386336326599,0.3391081690788269,0.27767446637153625,0.22579115629196167,0.4670347571372986,0.38960352540016174,0.3376711905002594,0.28812748193740845,4.635207346836978e-07,-0.02853674441576004,-0.040452394634485245,-0.05118132010102272,-0.06134505942463875,-0.020851217210292816,-0.0395793579518795,-0.05530639365315437,-0.06681189686059952,-0.022566862404346466,-0.03897489607334137,-0.05415881425142288,-0.06533689796924591,-0.028282513841986656,-0.04609731212258339,-0.059075381606817245,-0.06746087223291397,-0.037116844207048416,-0.05555238574743271,-0.06444279104471207,-0.06915435940027237
Name,0.5176402926445007,0.587832510471344,0.644942581653595,0.6770376563072205,0.7106071710586548,0.5887697339057922,0.6078681945800781,0.6164780855178833,0.6210622787475586,0.5458373427391052,0.5529965758323669,0.5547091364860535,0.5520108938217163,0.5063048601150513,0.4983682632446289,0.49420568346977234,0.4895198345184326,0.46760961413383484,0.44417181611061096,0.4290817975997925,0.41674965620040894,0.6837542057037354,0.6461423635482788,0.5728747844696045,0.5027424097061157,0.4547465145587921,0.43335607647895813,0.3316653370857239,0.2689130902290344,0.21485847234725952,0.4237397015094757,0.3135596513748169,0.2441190779209137,0.18842610716819763,0.43544256687164307,0.33712998032569885,0.2774694561958313,0.22849713265895844,0.4662574231624603,0.3898603320121765,0.3380579650402069,0.2887507677078247,4.583331474350416e-07,-0.028884002938866615,-0.04090153053402901,-0.05158667638897896,-0.06168201193213463,-0.020959550514817238,-0.039377808570861816,-0.05480492487549782,-0.0660184919834137,-0.022416355088353157,-0.03823450952768326,-0.052819013595581055,-0.06352559477090836,-0.027853647246956825,-0.04492169991135597,-0.0570446252822876,-0.06493578851222992,-0.036442697048187256,-0.05384396016597748,-0.061766400933265686,-0.06590725481510162
Name,0.511972188949585,0.5817220211029053,0.6382691264152527,0.6706213355064392,0.7036380767822266,0.5821147561073303,0.5984852313995361,0.6073269844055176,0.6135098338127136,0.53862065076828,0.5447198152542114,0.5477266311645508,0.548102855682373,0.4987524449825287,0.4906114339828491,0.487590491771698,0.48559409379959106,0.4599083364009857,0.43948888778686523,0.42591482400894165,0.4153826832771301,0.6765053272247314,0.6383405923843384,0.5632091164588928,0.49280014634132385,0.4450567364692688,0.4255339801311493,0.32132506370544434,0.25839686393737793,0.20392748713493347,0.41756293177604675,0.3065115809440613,0.23571249842643738,0.1769360601902008,0.4298303425312042,0.331581711769104,0.2689228653907776,0.21544796228408813,0.4602202773094177,0.3820054233074188,0.32976233959198,0.27940571308135986,4.79453262869356e-07,-0.030141359195113182,-0.04229121282696724,-0.05297105759382248,-0.06308581680059433,-0.022550974041223526,-0.04242118075489998,-0.058628588914871216,-0.07015733420848846,-0.023488948121666908,-0.040572911500930786,-0.05572337284684181,-0.06673185527324677,-0.02868627943098545,-0.04685337841510773,-0.059819307178258896,-0.0680866464972496,-0.037227924913167953,-0.05549396201968193,-0.064227394759655,-0.06890419125556946
Name,0.5091215372085571,0.579856812953949,0.635189950466156,0.6686059236526489,0.7029881477355957,0.578766405582428,0.5959937572479248,0.6042852401733398,0.6088948845863342,0.5363398194313049,0.5453641414642334,0.5480901598930359,0.5463026762008667,0.49683594703674316,0.49031054973602295,0.48737862706184387,0.4840381145477295,0.45784664154052734,0.4370283782482147,0.42430543899536133,0.4142894446849823,0.6789219379425049,0.6409159302711487,0.5658080577850342,0.4963063597679138,0.4482586979866028,0.42893317341804504,0.32472091913223267,0.2607155740261078,0.20533621311187744,0.4206911325454712,0.30661964416503906,0.23417429625988007,0.17455515265464783,0.4340210556983948,0.3321564793586731,0.26684820652008057,0.21105514466762543,0.4656084179878235,0.38671278953552246,0.3334003686904907,0.2819426655769348,4.717737169812608e-07,-0.02971772290766239,-0.042468391358852386,-0.053856853395700455,-0.06512010097503662,-0.024518201127648354,-0.04509622976183891,-0.06176266446709633,-0.0737522542476654,-0.026487132534384727,-0.04436071217060089,-0.06023314967751503,-0.07178099453449249,-0.0324757844209671,-0.05131853371858597,-0.06507515162229538,-0.0740814059972763,-0.0415802001953125,-0.060715511441230774,-0.06982883810997009,-0.07490023970603943
Name,0.5077563524246216,0.577398419380188,0.6329933404922485,0.6663781404495239,0.7000387907028198,0.5769957304000854,0.5948144793510437,0.6039401888847351,0.6099790334701538,0.5347039699554443,0.5425814986228943,0.5446521043777466,0.542831540107727,0.49559372663497925,0.48796677589416504,0.48519963026046753,0.48265784978866577,0.4571308493614197,0.4361850619316101,0.4240448474884033,0.4150111973285675,0.6799103021621704,0.6412163972854614,0.566591739654541,0.4965497553348541,0.4468410015106201,0.428960382938385,0.32299643754959106,0.2581723928451538,0.20241397619247437,0.42090117931365967,0.3073575496673584,0.2349781095981598,0.17540869116783142,0.4344521164894104,0.3321044147014618,0.2664676904678345,0.21010980010032654,0.4666999578475952,0.388118714094162,0.3345617353916168,0.2827454209327698,4.69423412141623e-07,-0.030385594815015793,-0.04397246614098549,-0.05615381523966789,-0.06821884959936142,-0.026268627494573593,-0.048229582607746124,-0.06563445925712585,-0.07798393070697784,-0.028239781036973,-0.047453656792640686,-0.06398952752351761,-0.07597065716981888,-0.03424501046538353,-0.05388195812702179,-0.067729651927948,-0.07691238075494766,-0.04345131665468216,-0.0630597323179245,-0.07241281121969223,-0.07771898806095123
Name,0.5081124901771545,0.577059805393219,0.632859468460083,0.666603684425354,0.7001720070838928,0.5769685506820679,0.5947041511535645,0.6039561629295349,0.6100896000862122,0.5351018905639648,0.5430538058280945,0.5451894402503967,0.5433802008628845,0.49618980288505554,0.4889267086982727,0.48579996824264526,0.48276352882385254,0.4577285945415497,0.43650877475738525,0.4238237142562866,0.41409510374069214,0.6799956560134888,0.6412277817726135,0.5662726759910583,0.49688488245010376,0.44784098863601685,0.42716631293296814,0.32203641533851624,0.2575833797454834,0.20198652148246765,0.4195415675640106,0.3069996237754822,0.2347354143857956,0.17519640922546387,0.43324804306030273,0.33144545555114746,0.26626113057136536,0.21060854196548462,0.4657937288284302,0.3875870704650879,0.33421528339385986,0.28266119956970215,4.687494197241904e-07,-0.029765889048576355,-0.042971547693014145,-0.05495361611247063,-0.06675605475902557,-0.024602869525551796,-0.04626110568642616,-0.06376086175441742,-0.076213039457798,-0.026887943968176842,-0.045827947556972504,-0.0624956451356411,-0.07464208453893661,-0.033247482031583786,-0.052740633487701416,-0.06672168523073196,-0.07597947865724564,-0.04279293864965439,-0.06221647933125496,-0.07159373909235,-0.07693912833929062
